chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,0,15.306,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,1,0.829,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,2,0.825,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,3,0.829,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,4,0.821,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,5,0.812,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,6,0.815,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,7,0.816,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,8,0.817,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,9,0.818,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,10,0.815,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,16,6,13,78,11,0.814,6,-4078.645263671875,18634.505859375,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,0,15.891,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,0,16.086,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,32,6,13,78,1,1.122,10,-9986.46875,30824.21484375,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,64,6,13,78,0,16.991,6,-22687.76953125,68650.7578125,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,32,6,13,78,1,0.968,5,-9799.416015625,33166.9140625,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,128,6,13,78,0,17.474,4,-50470.2109375,74012.8828125,ok
